Constituency,q,r,Electorate,Population,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,second_party,electorate,valid_votes,invalid_votes,majority
Canterbury,12,-12,81341,119757,E14000619,E12000008,Kent,South East,England,County,Rosemary,Duffield,Female,Lab,Con,80203,60113,240,1836
Carlisle,-4,14,65827,86429,E14000620,E12000002,Cumbria,North West,England,County,John,Stevenson,Male,Con,Lab,65105,42873,195,8319
Carshalton and Wallington,4,-14,69981,101780,E14000621,E12000007,London,London,England,Borough,Elliot,Colburn,Male,Con,LD,72941,49098,125,629
Castle Point,10,-7,68170,89814,E14000622,E12000006,Essex,East,England,Borough,Rebecca,Harris,Female,Con,Lab,69608,44277,296,26634
Central Devon,-13,-13,72737,93250,E14000623,E12000009,Devon,South West,England,County,Mel,Stride,Male,Con,Lab,74926,58072,347,17721
Central Suffolk and North Ipswich,10,0,76666,101581,E14000624,E12000006,Suffolk,East,England,County,Dan,Poulter,Male,Con,Lab,80037,56250,274,23391
Charnwood,3,0,77269,101581,E14000625,E12000004,Leicestershire,East Midlands,England,County,Edward,Argar,Male,Con,Lab,79534,55365,266,22397
Chatham and Aylesford,10,-11,66355,101469,E14000626,E12000008,Kent,South East,England,County,Tracey,Crouch,Female,Con,Lab,71642,43340,159,18540
Cheadle,-5,3,73239,93422,E14000627,E12000002,Greater Manchester,North West,England,Borough,Mary,Robinson,Female,Con,LD,74577,55903,215,2336
Chelmsford,9,-4,78580,111032,E14000628,E12000006,Essex,East,England,Borough,Vicky,Ford,Female,Con,LD,80394,57122,224,17621
Chelsea and Fulham,2,-11,63478,107789,E14000629,E12000007,London,London,England,Borough,Greg,Hands,Male,Con,LD,67110,46821,150,11241
Cheltenham,-7,-7,77287,106352,E14000630,E12000009,Gloucestershire,South West,England,Borough,Alex,Chalk,Male,Con,LD,81044,59357,153,981
Chesham and Amersham,0,-7,72547,95355,E14000631,E12000008,Buckinghamshire,South East,England,County,Cheryl,Gillan,Female,Con,LD,72542,55685,289,16223
Chesterfield,-1,3,71625,94140,E14000632,E12000004,Derbyshire,East Midlands,England,Borough,Toby,Perkins,Male,Lab,Con,71034,45186,136,1451
Chichester,-1,-15,83396,110722,E14000633,E12000008,West Sussex,South East,England,County,Gillian,Keegan,Female,Con,LD,85499,61243,251,21490
Chingford and Woodford Green,6,-6,66680,94571,E14000634,E12000007,London,London,England,County,Iain,Duncan Smith,Male,Con,Lab,65393,48444,235,1262
Chippenham,-5,-9,74218,99897,E14000635,E12000009,Wiltshire,South West,England,County,Michelle,Donelan,Female,Con,LD,77221,57099,321,11288
Chipping Barnet,3,-7,77807,118408,E14000636,E12000007,London,London,England,Borough,Theresa,Villiers,Female,Con,Lab,79960,57569,193,1212
Chorley,-7,9,74679,102715,E14000637,E12000002,Lancashire,North West,England,County,Lindsay,Hoyle,Male,Spk,Ind,78177,39870,1303,17392
Christchurch,-7,-13,69303,86089,E14000638,E12000009,Dorset,South West,England,County,Christopher,Chope,Male,Con,LD,71520,51951,297,24617
Clacton,10,-3,68936,89901,E14000642,E12000006,Essex,East,England,County,Giles,Watling,Male,Con,Lab,70930,43506,116,24702
Cleethorpes,2,7,71008,94333,E14000643,E12000003,Humberside,Yorkshire and The Humber,England,County,Martin,Vickers,Male,Con,Lab,73689,46339,226,21418
Colchester,9,-3,74204,122387,E14000644,E12000006,Essex,East,England,Borough,Will,Quince,Male,Con,Lab,82625,53373,190,9423
Colne Valley,-4,7,82516,111717,E14000645,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Jason,McCartney,Male,Con,Lab,84174,60892,228,5103
Congleton,-5,2,72503,94744,E14000646,E12000002,Cheshire,North West,England,County,Fiona,Bruce,Female,Con,Lab,80930,57233,193,18561
Copeland,-6,13,62087,78684,E14000647,E12000002,Cumbria,North West,England,County,Trudy,Harrison,Female,Con,Lab,61693,42523,173,5842
Corby,4,1,79775,121295,E14000648,E12000004,Northamptonshire,East Midlands,England,County,Tom,Pursglove,Male,Con,Lab,86153,60475,265,10268
Coventry North East,-1,-3,75462,124974,E14000649,E12000005,West Midlands,West Midlands,England,Borough,Colleen,Fletcher,Female,Lab,Con,76006,44444,127,7692
Coventry North West,-1,-4,73626,112177,E14000650,E12000005,West Midlands,West Midlands,England,Borough,Taiwo,Owatemi,Female,Lab,Con,75247,47744,144,208
Coventry South,0,-4,70397,122998,E14000651,E12000005,West Midlands,West Midlands,England,Borough,Zarah,Sultana,Female,Lab,Con,70979,45044,138,401
Crawley,1,-14,73936,111664,E14000652,E12000008,West Sussex,South East,England,Borough,Henry,Smith,Male,Con,Lab,74207,49899,193,8360
Crewe and Nantwich,-6,1,74169,110128,E14000653,E12000002,Cheshire,North West,England,County,Kieran,Mullan,Male,Con,Lab,80321,54032,123,8508
Croydon Central,6,-14,78171,121087,E14000654,E12000007,London,London,England,Borough,Sarah,Jones,Female,Lab,Con,81407,54045,135,5949
Croydon North,6,-13,85941,146065,E14000655,E12000007,London,London,England,Borough,Steve,Reed,Male,Lab,Con,88468,55609,167,24673
Croydon South,5,-14,82010,117685,E14000656,E12000007,London,London,England,Borough,Chris,Philp,Male,Con,Lab,83982,59358,222,12339
Dagenham and Rainham,9,-8,69128,112045,E14000657,E12000007,London,London,England,Borough,Jon,Cruddas,Male,Lab,Con,71045,43735,127,293
Darlington,-1,12,65851,91768,E14000658,E12000001,Durham,North East,England,Borough,Peter,Gibson,Male,Con,Lab,66397,43498,81,3294
Dartford,9,-11,75209,113576,E14000659,E12000008,Kent,South East,England,County,Gareth,Johnson,Male,Con,Lab,82209,54023,280,19160
Daventry,1,-3,72873,99130,E14000660,E12000004,Northamptonshire,East Midlands,England,County,Chris,Heaton-Harris,Male,Con,Lab,77423,57403,246,26080
Denton and Reddish,-4,5,66141,86628,E14000661,E12000002,Greater Manchester,North West,England,Borough,Andrew,Gwynne,Male,Lab,Con,66234,38588,106,6175
Derby North,-1,2,69794,102733,E14000662,E12000004,Derbyshire,East Midlands,England,Borough,Amanda,Solloway,Female,Con,Lab,73199,47017,111,2540
Derby South,-1,1,70240,115414,E14000663,E12000004,Derbyshire,East Midlands,England,Borough,Margaret,Beckett,Female,Lab,Con,73062,42462,137,6019
Derbyshire Dales,-3,3,63476,79872,E14000664,E12000004,Derbyshire,East Midlands,England,County,Sarah,Dines,Female,Con,Lab,65080,50016,211,17381
Devizes,-5,-10,69205,102273,E14000665,E12000009,Wiltshire,South West,England,County,Danny,Kruger,Male,Con,LD,73372,50954,269,23993
Dewsbury,-2,7,79770,113692,E14000666,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Mark,Eastwood,Male,Con,Lab,81253,56389,272,1561
Don Valley,1,5,71299,100175,E14000667,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,Nick,Fletcher,Male,Con,Lab,75356,45437,82,3630
Doncaster Central,1,6,71136,110064,E14000668,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Rosie,Winterton,Female,Lab,Con,71389,41581,108,2278
Doncaster North,0,6,70989,98701,E14000669,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,Edward,Miliband,Male,Lab,Con,72362,40698,95,2370
Dover,13,-12,72930,101535,E14000670,E12000008,Kent,South East,England,County,Natalie,Elphicke,Female,Con,Lab,76355,50701,219,12278
Dudley North,-7,-3,60717,84817,E14000671,E12000005,West Midlands,West Midlands,England,Borough,Marco,Longhi,Male,Con,Lab,61936,36684,156,11533
Dudley South,-6,-4,60363,81197,E14000672,E12000005,West Midlands,West Midlands,England,Borough,Mike,Wood,Male,Con,Lab,60731,36576,163,15565
Dulwich and West Norwood,5,-13,76575,116035,E14000673,E12000007,London,London,England,Borough,Helen,Hayes,Female,Lab,Green,80331,55778,236,27310
Ealing Central and Acton,1,-10,71422,122419,E14000674,E12000007,London,London,England,Borough,Rupa,Huq,Female,Lab,Con,75510,54807,162,13300
Ealing North,0,-9,73881,121080,E14000675,E12000007,London,London,England,Borough,James,Murray,Male,Lab,Con,74473,49631,224,12269
"Ealing, Southall",0,-10,65606,99237,E14000676,E12000007,London,London,England,Borough,Virendra,Sharma,Male,Lab,Con,64581,42217,203,16084
Easington,0,14,61659,82631,E14000677,E12000001,Durham,North East,England,County,Grahame,Morris,Male,Lab,Con,61182,34583,122,6581
East Devon,-11,-14,76519,104193,E14000678,E12000009,Devon,South West,England,County,Simon,Jupp,Male,Con,Ind,87168,64073,150,6708
East Ham,7,-9,87382,162796,E14000679,E12000007,London,London,England,Borough,Stephen,Timms,Male,Lab,Con,88319,54628,174,33176
East Hampshire,-3,-12,71074,98009,E14000680,E12000008,Hampshire,South East,England,County,Damian,Hinds,Male,Con,LD,76478,56895,199,19696
East Surrey,9,-14,79654,111878,E14000681,E12000008,Surrey,South East,England,County,Claire,Coutinho,Female,Con,LD,83148,59690,235,24040
East Worthing and Shoreham,4,-15,74775,99758,E14000682,E12000008,West Sussex,South East,England,County,Tim,Loughton,Male,Con,Lab,75194,53128,188,7474
East Yorkshire,3,10,81023,101516,E14000683,E12000003,Humberside,Yorkshire and The Humber,England,County,Greg,Knight,Male,Con,Lab,80923,52769,205,22787
Eastbourne,9,-15,78262,110809,E14000684,E12000008,East Sussex,South East,England,Borough,Caroline,Ansell,Female,Con,LD,79307,55134,121,4331
Eastleigh,-4,-12,79609,108865,E14000685,E12000008,Hampshire,South East,England,Borough,Paul,Holmes,Male,Con,LD,83880,58971,186,15607
Eddisbury,-7,1,68569,89467,E14000686,E12000002,Cheshire,North West,England,County,Edward,Timpson,Male,Con,Lab,73700,52971,143,18443
Edmonton,5,-7,66016,120266,E14000687,E12000007,London,London,England,Borough,Kate,Osamor,Female,Lab,Con,65747,40341,148,16015
Ellesmere Port and Neston,-9,1,69223,87285,E14000688,E12000002,Cheshire,North West,England,County,Justin,Madders,Male,Lab,Con,70327,48746,128,8764
Elmet and Rothwell,2,10,79143,100292,E14000689,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Alec,Shelbrooke,Male,Con,Lab,80957,58225,187,17353
Eltham,8,-12,63998,95175,E14000690,E12000007,London,London,England,Borough,Clive,Efford,Male,Lab,Con,64086,43689,114,3197
Enfield North,5,-6,68118,109930,E14000691,E12000007,London,London,England,Borough,Feryal,Clark,Female,Lab,Con,68301,45050,132,6492
"Enfield, Southgate",4,-6,64937,102509,E14000692,E12000007,London,London,England,Borough,Bambos,Charalambous,Male,Lab,Con,65525,47276,127,4450
Epping Forest,9,-6,73447,100102,E14000693,E12000006,Essex,East,England,County,Eleanor,Laing,Female,Con,Lab,74304,50268,269,22173
Epsom and Ewell,1,-13,78633,109981,E14000694,E12000008,Surrey,South East,England,Borough,Chris,Grayling,Male,Con,LD,81138,59451,254,17873
Erewash,1,0,71943,97103,E14000695,E12000004,Derbyshire,East Midlands,England,County,Maggie,Throup,Female,Con,Lab,72523,48814,168,10606
Erith and Thamesmead,8,-11,70397,121265,E14000696,E12000007,London,London,England,Borough,Abena,Oppong-Asare,Female,Lab,Con,65399,41384,115,3758
Esher and Walton,-1,-13,79894,114285,E14000697,E12000008,Surrey,South East,England,Borough,Dominic,Raab,Male,Con,LD,81184,63084,163,2743
Exeter,-12,-13,76968,114569,E14000698,E12000009,Devon,South West,England,Borough,Ben,Bradshaw,Male,Lab,Con,82054,56192,221,10403
Fareham,-4,-14,77114,101851,E14000699,E12000008,Hampshire,South East,England,County,Suella,Braverman,Female,Con,Lab,78337,57250,286,26086
Faversham and Mid Kent,12,-11,69523,97954,E14000700,E12000008,Kent,South East,England,County,Helen,Whately,Female,Con,Lab,73403,50394,189,21976
Feltham and Heston,0,-11,82340,134332,E14000701,E12000007,London,London,England,Borough,Seema,Malhotra,Female,Lab,Con,80934,47811,146,7859
Filton and Bradley Stoke,-8,-8,71310,101349,E14000702,E12000009,Avon,South West,England,County,Jack,Lopresti,Male,Con,Lab,74016,53752,194,5646
Finchley and Golders Green,3,-8,72530,130507,E14000703,E12000007,London,London,England,Borough,Mike,Freer,Male,Con,LD,77573,55109,213,6562
Folkestone and Hythe,12,-14,83651,116776,E14000704,E12000008,Kent,South East,England,County,Damian,Collins,Male,Con,Lab,88272,59005,260,21337
Fylde,-7,10,65679,84814,E14000706,E12000002,Lancashire,North West,England,County,Mark,Menzies,Male,Con,Lab,66847,46659,162,16611
Gainsborough,2,5,74686,96951,E14000707,E12000004,Lincolnshire,East Midlands,England,County,Edward,Leigh,Male,Con,Lab,76343,51046,259,22967
Garston and Halewood,-9,3,73719,99510,E14000708,E12000002,Merseyside,North West,England,Borough,Maria,Eagle,Female,Lab,Con,76116,53326,147,31624
Gateshead,-3,15,64524,97101,E14000709,E12000001,Tyne and Wear,North East,England,Borough,Ian,Mearns,Male,Lab,Con,64449,38145,221,7200
Gedling,3,2,70000,94780,E14000710,E12000004,Nottinghamshire,East Midlands,England,County,Tom,Randall,Male,Con,Lab,71366,49953,144,679
Gillingham and Rainham,11,-11,70984,103079,E14000711,E12000008,Kent,South East,England,Borough,Rehman,Chishti,Male,Con,Lab,73549,45958,138,15119
Gloucester,-7,-8,82968,119713,E14000712,E12000009,Gloucestershire,South West,England,Borough,Richard,Graham,Male,Con,Lab,81319,53764,200,10277
Gosport,-3,-14,73268,99877,E14000713,E12000008,Hampshire,South East,England,Borough,Caroline,Dinenage,Female,Con,Lab,73541,48453,225,23278
Grantham and Stamford,3,3,81150,111163,E14000714,E12000004,Lincolnshire,East Midlands,England,County,Gareth,Davies,Male,Con,Lab,81502,56003,305,26003
Gravesham,10,-10,72043,106121,E14000715,E12000008,Kent,South East,England,County,Adam,Holloway,Male,Con,Lab,73242,47560,174,15581
Great Grimsby,3,6,59200,88500,E14000716,E12000003,Humberside,Yorkshire and The Humber,England,Borough,Lia,Nici,Female,Con,Lab,61409,33087,71,7331
Great Yarmouth,8,2,69793,99417,E14000717,E12000006,Norfolk,East,England,County,Brandon,Lewis,Male,Con,Lab,71957,43462,165,17663
Greenwich and Woolwich,7,-11,73315,129210,E14000718,E12000007,London,London,England,Borough,Matthew,Pennycook,Male,Lab,Con,79997,53120,174,18464
Guildford,-2,-13,75733,114435,E14000719,E12000008,Surrey,South East,England,County,Angela,Richardson,Female,Con,LD,77729,58651,152,3337
Hackney North and Stoke Newington,5,-9,88153,141379,E14000720,E12000007,London,London,England,Borough,Diane,Abbott,Female,Lab,Con,92462,56864,244,33188
Hackney South and Shoreditch,6,-10,84971,134550,E14000721,E12000007,London,London,England,Borough,Meg,Hillier,Female,Lab,Con,89387,54439,182,33985
Halesowen and Rowley Regis,-6,-3,66048,89126,E14000722,E12000005,West Midlands,West Midlands,England,Borough,James,Morris,Male,Con,Lab,68300,42345,132,12074
Halifax,-3,8,70462,104649,E14000723,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Holly,Lynch,Female,Lab,Con,71887,46458,134,2569
Haltemprice and Howden,2,9,71195,89510,E14000724,E12000003,Humberside,Yorkshire and The Humber,England,County,David,Davis,Male,Con,Lab,71083,49779,249,20329
Halton,-8,2,72818,97326,E14000725,E12000002,Cheshire,North West,England,County,Derek,Twigg,Male,Lab,Con,71930,46203,143,18975
Hammersmith,2,-10,72254,117504,E14000726,E12000007,London,London,England,Borough,Andy,Slaughter,Male,Lab,Con,74759,51966,190,17847
Hampstead and Kilburn,3,-9,80195,144586,E14000727,E12000007,London,London,England,Borough,Tulip,Siddiq,Female,Lab,Con,86571,57385,191,14188
Harborough,3,-1,77760,106126,E14000728,E12000004,Leicestershire,East Midlands,England,County,Neil,O'Brien,Male,Con,Lab,80151,57319,212,17278
Harlow,8,-3,67994,96754,E14000729,E12000006,Essex,East,England,County,Robert,Halfon,Male,Con,Lab,68078,43354,236,14063
