Constituency,q,r,Electorate,Population,ons_id,ons_region_id,county_name,region_name,country_name,constituency_type,mp_firstname,mp_surname,mp_gender,first_party,second_party,electorate,valid_votes,invalid_votes,majority
Huntingdon,5,-2,82593,119679,E14000757,E12000006,Cambridgeshire,East,England,County,Jonathan,Djanogly,Male,Con,Lab,84657,59147,266,19383
Hyndburn,-5,10,68341,92364,E14000758,E12000002,Lancashire,North West,England,Borough,Sara,Britcliffe,Female,Con,Lab,70842,42406,137,2951
Ilford North,6,-7,75294,109618,E14000759,E12000007,London,London,England,Borough,Wes,Streeting,Male,Lab,Con,72973,50114,117,5218
Ilford South,7,-8,91987,144360,E14000760,E12000007,London,London,England,Borough,Sam,Tarry,Male,Lab,Con,84972,53477,178,24101
Ipswich,9,-1,74499,114348,E14000761,E12000006,Suffolk,East,England,Borough,Tom,Hunt,Male,Con,Lab,75525,49579,116,5479
Islington North,4,-9,73326,116074,E14000763,E12000007,London,London,England,Borough,Jeremy,Corbyn,Male,Lab,LD,75162,53805,227,26188
Islington South and Finsbury,5,-10,68127,118926,E14000764,E12000007,London,London,England,Borough,Emily,Thornberry,Female,Lab,LD,70489,47816,171,17328
Jarrow,-1,15,64002,82979,E14000765,E12000001,Tyne and Wear,North East,England,Borough,Kate,Osborne,Female,Lab,Con,65103,40736,91,7120
Keighley,-3,10,68865,97371,E14000766,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Robbie,Moore,Male,Con,Lab,72778,52600,276,2218
Kenilworth and Southam,1,-4,63957,83252,E14000767,E12000005,Warwickshire,West Midlands,England,County,Jeremy,Wright,Male,Con,LD,68154,52597,211,20353
Kensington,3,-10,61133,113446,E14000768,E12000007,London,London,England,Borough,Felicity,Buchan,Female,Con,Lab,64609,43762,92,150
Kettering,4,0,70155,100252,E14000769,E12000004,Northamptonshire,East Midlands,England,County,Philip,Hollobone,Male,Con,Lab,73164,49361,155,16765
Kingston and Surbiton,0,-13,81238,127264,E14000770,E12000007,London,London,England,Borough,Edward,Davey,Male,LD,Con,81975,60846,135,10489
Kingston upon Hull East,3,7,65710,90986,E14000771,E12000003,Humberside,Yorkshire and The Humber,England,Borough,Karl,Turner,Male,Lab,Con,65745,32442,107,1239
Kingston upon Hull North,3,9,64148,97969,E14000772,E12000003,Humberside,Yorkshire and The Humber,England,Borough,Diana,Johnson,Female,Lab,Con,65515,34203,112,7593
Kingston upon Hull West and Hessle,3,8,59100,86690,E14000773,E12000003,Humberside,Yorkshire and The Humber,England,Borough,Emma,Hardy,Female,Lab,Con,60192,31356,80,2856
Kingswood,-6,-8,68193,91234,E14000774,E12000009,Avon,South West,England,Borough,Chris,Skidmore,Male,Con,Lab,68972,49314,145,11220
Knowsley,-9,6,79108,105786,E14000775,E12000002,Merseyside,North West,England,Borough,George,Howarth,Male,Lab,Con,84082,54938,133,39942
Lancaster and Fleetwood,-4,12,61922,90139,E14000776,E12000002,Lancashire,North West,England,County,Cat,Smith,Female,Lab,Con,70059,45219,128,2380
Leeds Central,0,9,81799,152847,E14000777,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Hilary,Benn,Male,Lab,Con,90971,49284,160,19270
Leeds East,1,9,64754,99969,E14000778,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Richard,Burgon,Male,Lab,Con,67286,39052,120,5531
Leeds North East,1,10,69097,92604,E14000779,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Fabian,Hamilton,Male,Lab,Con,70580,50500,531,17089
Leeds North West,0,10,61974,86016,E14000780,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Alex,Sobel,Male,Lab,Con,67741,49283,138,10749
Leeds West,-1,9,64950,94030,E14000781,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Rachel,Reeves,Female,Lab,Con,67727,40281,121,10564
Leicester East,2,-1,75430,116911,E14000782,E12000004,Leicestershire,East Midlands,England,Borough,Claudia,Webbe,Female,Lab,Con,78433,49421,259,6019
Leicester South,2,-2,73518,127672,E14000783,E12000004,Leicestershire,East Midlands,England,Borough,Jonathan,Ashworth,Male,Lab,Con,77708,50147,192,22675
Leicester West,1,-1,63204,108957,E14000784,E12000004,Leicestershire,East Midlands,England,Borough,Liz,Kendall,Female,Lab,Con,64940,34775,151,4212
Leigh,-8,6,75905,104932,E14000785,E12000002,Greater Manchester,North West,England,County,James,Grundy,Male,Con,Lab,77417,46979,168,1965
Lewes,8,-15,69481,92793,E14000786,E12000008,East Sussex,South East,England,County,Maria,Caulfield,Female,Con,LD,71503,54851,144,2457
Lewisham East,7,-13,66913,110260,E14000787,E12000007,London,London,England,Borough,Janet,Daby,Female,Lab,Con,67857,44815,139,17008
Lewisham West and Penge,7,-12,72290,114967,E14000788,E12000007,London,London,England,Borough,Ellie,Reeves,Female,Lab,Con,74617,52100,192,21543
"Lewisham, Deptford",6,-11,73428,125190,E14000789,E12000007,London,London,England,Borough,Vicky,Foxcroft,Female,Lab,Con,80631,55368,236,32913
Leyton and Wanstead,6,-8,64580,110795,E14000790,E12000007,London,London,England,County,John,Cryer,Male,Lab,Con,64852,44547,174,20808
Lichfield,-2,0,74234,95785,E14000791,E12000005,Staffordshire,West Midlands,England,County,Michael,Fabricant,Male,Con,Lab,76616,53993,240,23638
Lincoln,3,5,74121,111942,E14000792,E12000004,Lincolnshire,East Midlands,England,Borough,Karl,McCartney,Male,Con,Lab,74942,50629,134,3514
"Liverpool, Riverside",-10,4,70829,131888,E14000793,E12000002,Merseyside,North West,England,Borough,Kim,Johnson,Female,Lab,Con,80310,52789,242,37043
"Liverpool, Walton",-10,6,61908,92439,E14000794,E12000002,Merseyside,North West,England,Borough,Dan,Carden,Male,Lab,Con,62628,40786,195,30520
"Liverpool, Wavertree",-10,3,61549,95210,E14000795,E12000002,Merseyside,North West,England,Borough,Paula,Barker,Female,Lab,Con,63458,43377,141,27085
"Liverpool, West Derby",-10,5,63651,93045,E14000796,E12000002,Merseyside,North West,England,Borough,Ian,Byrne,Male,Lab,Con,65640,43989,93,29984
Loughborough,2,0,75217,107916,E14000797,E12000004,Leicestershire,East Midlands,England,County,Jane,Hunt,Female,Con,Lab,79764,54631,220,7169
Louth and Horncastle,4,6,74870,99323,E14000798,E12000004,Lincolnshire,East Midlands,England,County,Victoria,Atkins,Female,Con,Lab,79634,52332,286,28868
Ludlow,-8,-2,66374,86265,E14000799,E12000005,Shropshire,West Midlands,England,County,Philip,Dunne,Male,Con,LD,69444,50225,259,23648
Luton North,5,-4,67329,101258,E14000800,E12000006,Bedfordshire,East,England,Borough,Sarah,Owen,Female,Lab,Con,68185,42589,155,9247
Luton South,4,-5,67741,119759,E14000801,E12000006,Bedfordshire,East,England,Borough,Rachel,Hopkins,Female,Lab,Con,69338,42064,175,8756
Macclesfield,-4,3,71712,93692,E14000802,E12000002,Cheshire,North West,England,County,David,Rutley,Male,Con,Lab,76216,53867,237,10711
Maidenhead,-2,-7,74187,106307,E14000803,E12000008,Berkshire,South East,England,County,Theresa,May,Female,Con,LD,76668,56492,278,18846
Maidstone and The Weald,11,-12,73181,108642,E14000804,E12000008,Kent,South East,England,County,Helen,Grant,Female,Con,Lab,76109,51680,261,21772
Makerfield,-9,7,74320,100385,E14000805,E12000002,Greater Manchester,North West,England,County,Yvonne,Fovargue,Female,Lab,Con,74190,44259,161,4740
Maldon,11,-4,69066,91364,E14000806,E12000006,Essex,East,England,County,John,Whittingdale,Male,Con,Lab,72438,50408,236,30041
Manchester Central,-6,5,86078,158529,E14000807,E12000002,Greater Manchester,North West,England,Borough,Lucy,Powell,Female,Lab,Con,92247,52289,193,29089
"Manchester, Gorton",-5,5,72992,119476,E14000808,E12000002,Greater Manchester,North West,England,Borough,Afzal,Khan,Male,Lab,Con,76419,44545,147,30339
"Manchester, Withington",-6,4,74102,100773,E14000809,E12000002,Greater Manchester,North West,England,Borough,Jeff,Smith,Male,Lab,LD,76530,52995,181,27905
Mansfield,1,3,77534,108576,E14000810,E12000004,Nottinghamshire,East Midlands,England,County,Ben,Bradley,Male,Con,Lab,77131,49273,157,16306
Meon Valley,-4,-13,72738,94535,E14000811,E12000008,Hampshire,South East,England,County,Flick,Drummond,Female,Con,LD,75737,54829,211,23555
Meriden,-2,-5,81928,111675,E14000812,E12000005,West Midlands,West Midlands,England,County,Saqib,Bhatti,Male,Con,Lab,85368,54161,236,22836
Mid Bedfordshire,4,-4,78501,110736,E14000813,E12000006,Bedfordshire,East,England,County,Nadine,Dorries,Female,Con,Lab,87795,64717,225,24664
Mid Derbyshire,-2,2,67477,84841,E14000814,E12000004,Derbyshire,East Midlands,England,County,Pauline,Latham,Female,Con,Lab,67442,49356,197,15385
Mid Dorset and North Poole,-8,-12,64299,82737,E14000815,E12000009,Dorset,South West,England,County,Michael,Tomlinson,Male,Con,LD,65427,48930,152,14898
Mid Norfolk,6,1,77154,105925,E14000816,E12000006,Norfolk,East,England,County,George,Freeman,Male,Con,Lab,82203,56186,335,22594
Mid Sussex,10,-14,81034,112448,E14000817,E12000008,West Sussex,South East,England,County,Mims,Davies,Female,Con,LD,85146,62762,222,18197
Mid Worcestershire,-5,-5,73069,101762,E14000818,E12000005,Hereford and Worcester,West Midlands,England,County,Nigel,Huddleston,Male,Con,Lab,78220,56123,204,28018
Middlesbrough,1,12,61873,95892,E14000819,E12000001,Cleveland,North East,England,Borough,Andy,McDonald,Male,Lab,Con,60764,34097,85,8395
Middlesbrough South and East Cleveland,2,12,71154,93537,E14000820,E12000001,Cleveland,North East,England,County,Simon,Clarke,Male,Con,Lab,72348,47817,180,11626
Milton Keynes North,3,-3,86826,132573,E14000821,E12000008,Buckinghamshire,South East,England,County,Ben,Everitt,Male,Con,Lab,91545,62543,237,6255
Milton Keynes South,3,-4,89656,134948,E14000822,E12000008,Buckinghamshire,South East,England,Borough,Iain,Stewart,Male,Con,Lab,96363,64007,181,6944
Mitcham and Morden,3,-14,68474,106832,E14000823,E12000007,London,London,England,Borough,Siobhain,McDonagh,Female,Lab,Con,70021,45741,104,16482
Mole Valley,0,-14,74038,97219,E14000824,E12000008,Surrey,South East,England,County,Paul,Beresford,Male,Con,LD,74665,57110,194,12041
Morecambe and Lunesdale,-5,12,66985,89064,E14000825,E12000002,Lancashire,North West,England,County,David,Morris,Male,Con,Lab,67397,45310,138,6354
Morley and Outwood,0,8,75820,98496,E14000826,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Andrea,Jenkyns,Female,Con,Lab,78803,51930,191,11267
New Forest East,-6,-13,72697,93713,E14000827,E12000008,Hampshire,South East,England,County,Julian,Lewis,Male,Con,Lab,73549,50786,189,25251
New Forest West,-6,-12,68446,85877,E14000828,E12000008,Hampshire,South East,England,County,Desmond,Swayne,Male,Con,LD,70869,50306,250,24403
Newark,3,4,73747,104522,E14000829,E12000004,Nottinghamshire,East Midlands,England,County,Robert,Jenrick,Male,Con,Lab,75850,54762,259,21816
Newbury,-4,-7,79512,111848,E14000830,E12000008,Berkshire,South East,England,County,Laura,Farris,Female,Con,LD,83414,59998,190,16047
Newton Abbot,-12,-14,69928,90795,E14000835,E12000009,Devon,South West,England,County,Anne Marie,Morris,Female,Con,LD,72529,52556,182,17501
"Normanton, Pontefract and Castleford",1,8,82592,112182,E14000836,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Yvette,Cooper,Female,Lab,Con,84527,48259,127,1276
North Cornwall,-14,-13,67192,92772,E14000837,E12000009,Cornwall,South West,England,County,Scott,Mann,Male,Con,LD,69935,51678,256,14752
North Devon,-12,-12,74737,95440,E14000838,E12000009,Devon,South West,England,County,Selaine,Saxby,Female,Con,LD,75859,55581,166,14813
North Dorset,-7,-12,73759,98878,E14000839,E12000009,Dorset,South West,England,County,Simon,Hoare,Male,Con,LD,76765,56107,263,24301
North Durham,-2,14,65359,88060,E14000840,E12000001,Durham,North East,England,County,Kevan,Jones,Male,Lab,Con,66796,42195,107,4742
North East Bedfordshire,4,-2,83551,114925,E14000841,E12000006,Bedfordshire,East,England,County,Richard,Fuller,Male,Con,Lab,90678,65018,200,24283
North East Cambridgeshire,6,0,82990,119024,E14000842,E12000006,Cambridgeshire,East,England,County,Stephen,Barclay,Male,Con,Lab,83699,52964,239,29993
North East Derbyshire,-2,3,71445,91786,E14000843,E12000004,Derbyshire,East Midlands,England,County,Lee,Rowley,Male,Con,Lab,72345,49217,173,12876
North East Hampshire,-3,-9,76918,100563,E14000844,E12000008,Hampshire,South East,England,County,Ranil,Jayawardena,Male,Con,LD,78954,59270,174,20211
North East Hertfordshire,6,-3,74000,100639,E14000845,E12000006,Hertfordshire,East,England,County,Oliver,Heald,Male,Con,Lab,76123,55327,281,18189
North East Somerset,-6,-10,69380,93654,E14000846,E12000009,Avon,South West,England,County,Jacob,Rees-Mogg,Male,Con,Lab,73692,56308,169,14729
North Herefordshire,-8,-4,67926,89604,E14000847,E12000005,Hereford and Worcester,West Midlands,England,County,Bill,Wiggin,Male,Con,LD,70252,51033,276,24856
North Norfolk,6,2,68867,86991,E14000848,E12000006,Norfolk,East,England,County,Duncan,Baker,Male,Con,LD,70729,50823,172,14395
North Shropshire,-8,0,78858,109100,E14000849,E12000005,Shropshire,West Midlands,England,County,Owen,Paterson,Male,Con,Lab,83258,56513,205,22949
North Somerset,-9,-11,80161,101910,E14000850,E12000009,Avon,South West,England,County,Liam,Fox,Male,Con,Lab,80194,62055,241,17536
North Swindon,-5,-7,80983,112237,E14000851,E12000009,Wiltshire,South West,England,County,Justin,Tomlinson,Male,Con,Lab,82441,55115,209,16171
North Thanet,13,-10,71478,98218,E14000852,E12000008,Kent,South East,England,County,Roger,Gale,Male,Con,Lab,72756,48178,250,17189
North Tyneside,-1,16,79300,104399,E14000853,E12000001,Tyne and Wear,North East,England,Borough,Mary,Glindon,Female,Lab,Con,78902,50429,160,9561
North Warwickshire,-1,-1,70152,92833,E14000854,E12000005,Warwickshire,West Midlands,England,County,Craig,Tracey,Male,Con,Lab,70271,45914,171,17956
North West Cambridgeshire,5,-1,90318,133227,E14000855,E12000006,Cambridgeshire,East,England,County,Shailesh,Vara,Male,Con,Lab,94909,64533,315,25983
North West Durham,-3,13,69816,94105,E14000856,E12000001,Durham,North East,England,County,Richard,Holden,Male,Con,Lab,72166,47663,128,1144
North West Hampshire,-4,-10,79223,107227,E14000857,E12000008,Hampshire,South East,England,County,Kit,Malthouse,Male,Con,LD,83083,58918,270,26308
North West Leicestershire,0,0,72193,100109,E14000858,E12000004,Leicestershire,East Midlands,England,County,Andrew,Bridgen,Male,Con,Lab,78935,53821,211,20400
North West Norfolk,5,1,74402,98029,E14000859,E12000006,Norfolk,East,England,County,James,Wild,Male,Con,Lab,72080,46602,200,19922
North Wiltshire,-5,-8,67851,94290,E14000860,E12000009,Wiltshire,South West,England,County,James,Gray,Male,Con,LD,73280,54758,216,17626
Northampton North,3,-2,59144,88634,E14000861,E12000004,Northamptonshire,East Midlands,England,Borough,Michael,Ellis,Male,Con,Lab,58768,39539,120,5507
Northampton South,2,-3,61287,101461,E14000862,E12000004,Northamptonshire,East Midlands,England,Borough,Andrew,Lewer,Male,Con,Lab,62163,40835,122,4697
Norwich North,7,1,64515,89235,E14000863,E12000006,Norfolk,East,England,Borough,Chloe,Smith,Female,Con,Lab,67172,46285,127,4738
Norwich South,8,0,74875,103284,E14000864,E12000006,Norfolk,East,England,Borough,Clive,Lewis,Male,Lab,Con,77845,51673,197,12760
Nottingham East,2,1,60464,109797,E14000865,E12000004,Nottinghamshire,East Midlands,England,Borough,Nadia,Whittome,Female,Lab,Con,66262,40004,141,17393
Nottingham North,2,2,65918,100690,E14000866,E12000004,Nottinghamshire,East Midlands,England,Borough,Alex,Norris,Male,Lab,Con,66495,35320,103,4490
Nottingham South,1,1,68987,118722,E14000867,E12000004,Nottinghamshire,East Midlands,England,Borough,Lilian,Greenwood,Female,Lab,Con,79485,48134,181,12568
Nuneaton,0,-2,68037,93717,E14000868,E12000005,Warwickshire,West Midlands,England,County,Marcus,Jones,Male,Con,Lab,70226,45190,215,13144
Old Bexley and Sidcup,9,-12,66035,89400,E14000869,E12000007,London,London,England,Borough,James,Brokenshire,Male,Con,Lab,66104,46145,239,18952
Oldham East and Saddleworth,-5,7,71475,105960,E14000870,E12000002,Greater Manchester,North West,England,County,Debbie,Abrahams,Female,Lab,Con,72120,46164,123,1499
Oldham West and Royton,-6,7,71652,107334,E14000871,E12000002,Greater Manchester,North West,England,Borough,Jim,McMahon,Male,Lab,Con,72999,44434,117,11127
Orpington,8,-14,68129,91917,E14000872,E12000007,London,London,England,Borough,Gareth,Bacon,Male,Con,Lab,68877,48721,263,22378
Oxford East,0,-5,78978,123350,E14000873,E12000008,Oxfordshire,South East,England,Borough,Anneliese,Dodds,Female,Lab,Con,78303,49359,213,17832
Oxford West and Abingdon,0,-6,76174,109678,E14000874,E12000008,Oxfordshire,South East,England,County,Layla,Moran,Female,LD,Con,76951,58824,238,8943
Pendle,-5,11,64573,90696,E14000875,E12000002,Lancashire,North West,England,Borough,Andrew,Stephenson,Male,Con,Lab,65292,44460,172,6186
Penistone and Stocksbridge,-3,6,70817,89284,E14000876,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,Miriam,Cates,Female,Con,Lab,70925,49520,149,7210
Penrith and The Border,-5,15,65209,82409,E14000877,E12000002,Cumbria,North West,England,County,Neil,Hudson,Male,Con,Lab,67555,47824,209,18519
Peterborough,5,0,72530,122987,E14000878,E12000006,Cambridgeshire,East,England,Borough,Paul,Bristow,Male,Con,Lab,72560,47801,98,2580
"Plymouth, Moor View",-14,-15,68246,93933,E14000879,E12000009,Devon,South West,England,Borough,Johnny,Mercer,Male,Con,Lab,69430,44239,202,12897
"Plymouth, Sutton and Devonport",-14,-16,73274,114519,E14000880,E12000009,Devon,South West,England,Borough,Luke,Pollard,Male,Lab,Con,77852,53176,141,4757
Poole,-9,-13,72557,98567,E14000881,E12000009,Dorset,South West,England,Borough,Robert,Syms,Male,Con,Lab,73989,50451,169,19116
Poplar and Limehouse,8,-10,82081,161144,E14000882,E12000007,London,London,England,Borough,Apsana,Begum,Female,Lab,Con,91836,61276,277,28904
Portsmouth North,-3,-13,73105,100174,E14000883,E12000008,Hampshire,South East,England,Borough,Penny,Mordaunt,Female,Con,Lab,71299,45910,145,15780
Portsmouth South,-2,-14,71639,114544,E14000884,E12000008,Hampshire,South East,England,Borough,Stephen,Morgan,Male,Lab,Con,74186,47425,163,5363
Preston,-7,11,59981,96426,E14000885,E12000002,Lancashire,North West,England,Borough,Mark,Hendrick,Male,Lab,Con,59672,33790,98,12146
Pudsey,-1,10,70533,91879,E14000886,E12000003,West Yorkshire,Yorkshire and The Humber,England,Borough,Stuart,Andrew,Male,Con,Lab,73212,54215,142,3517
Putney,3,-12,63923,98091,E14000887,E12000007,London,London,England,Borough,Fleur,Anderson,Female,Lab,Con,65556,50467,119,4774
Rayleigh and Wickford,9,-5,77174,101041,E14000888,E12000006,Essex,East,England,County,Mark,Francois,Male,Con,Lab,78930,54901,293,31000
Reading East,-3,-7,73232,115284,E14000889,E12000008,Berkshire,South East,England,Borough,Mathew,Rodda,Male,Lab,Con,77152,55918,137,5924
Reading West,-3,-8,72567,104157,E14000890,E12000008,Berkshire,South East,England,County,Alok,Sharma,Male,Con,Lab,74137,50392,180,4117
Redcar,1,13,64826,87215,E14000891,E12000001,Cleveland,North East,England,Borough,Jacob,Young,Male,Con,Lab,65864,40842,95,3527
Redditch,-4,-6,65531,90889,E14000892,E12000005,Hereford and Worcester,West Midlands,England,County,Rachel,Maclean,Female,Con,Lab,65391,44067,215,16036
Reigate,2,-14,73429,106027,E14000893,E12000008,Surrey,South East,England,Borough,Crispin,Blunt,Male,Con,Lab,74242,53156,231,18310
Ribble Valley,-3,12,77379,99620,E14000894,E12000002,Lancashire,North West,England,County,Nigel,Evans,Male,Con,Lab,79247,55284,260,18439
Richmond (Yorks),-3,11,79062,109492,E14000895,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Rishi,Sunak,Male,Con,Lab,82569,57703,203,27210
Richmond Park,1,-12,77303,125093,E14000896,E12000007,London,London,England,Borough,Sarah,Olney,Female,LD,Con,82699,65067,173,7766
Rochdale,-4,8,77248,111859,E14000897,E12000002,Greater Manchester,North West,England,County,Tony,Lloyd,Male,Lab,Con,78909,47447,162,9668
Rochester and Strood,11,-10,77119,112916,E14000898,E12000008,Kent,South East,England,County,Kelly,Tolhurst,Female,Con,Lab,82056,51926,187,17072
Rochford and Southend East,10,-5,71935,105200,E14000899,E12000006,Essex,East,England,County,James,Duddridge,Male,Con,Lab,75624,46136,180,12286
Romford,7,-7,72594,104539,E14000900,E12000007,London,London,England,Borough,Andrew,Rosindell,Male,Con,Lab,72350,47231,240,17893
Romsey and Southampton North,-5,-11,66519,91141,E14000901,E12000008,Hampshire,South East,England,County,Caroline,Nokes,Female,Con,LD,68228,51390,187,10872
Rossendale and Darwen,-5,9,73779,98020,E14000902,E12000002,Lancashire,North West,England,Borough,Jake,Berry,Male,Con,Lab,72770,48822,231,9522
Rother Valley,1,4,74275,96352,E14000903,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,Alexander,Stafford,Male,Con,Lab,74804,48698,143,6318
Rotherham,0,5,63698,91706,E14000904,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Sarah,Champion,Female,Lab,Con,61688,35651,103,3121
Rugby,0,-3,71655,102733,E14000905,E12000005,Warwickshire,West Midlands,England,County,Mark,Pawsey,Male,Con,Lab,72292,50814,232,13447
"Ruislip, Northwood and Pinner",1,-7,73216,97520,E14000906,E12000007,London,London,England,Borough,David,Simmonds,Male,Con,Lab,72816,52904,188,16394
Runnymede and Weybridge,-1,-12,73771,108976,E14000907,E12000008,Surrey,South East,England,County,Ben,Spencer,Male,Con,Lab,77196,53289,184,18270
Rushcliffe,3,1,73278,98568,E14000908,E12000004,Nottinghamshire,East Midlands,England,County,Ruth,Edwards,Female,Con,Lab,77047,60505,251,7643
Rutland and Melton,4,2,79693,104112,E14000909,E12000004,Leicestershire,East Midlands,England,County,Alicia,Kearns,Female,Con,Lab,82705,58310,224,26924
Saffron Walden,7,-2,80615,111701,E14000910,E12000006,Essex,East,England,County,Kemi,Badenoch,Female,Con,LD,87017,63086,318,27594
Salford and Eccles,-7,5,74291,117990,E14000911,E12000002,Greater Manchester,North West,England,Borough,Rebecca,Long-Bailey,Female,Lab,Con,82202,50632,172,16327
Salisbury,-6,-11,69582,96573,E14000912,E12000009,Wiltshire,South West,England,County,John,Glen,Male,Con,LD,74556,53730,168,19736
Scarborough and Whitby,2,11,73511,96695,E14000913,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Robert,Goodwill,Male,Con,Lab,74404,49724,197,10270
Scunthorpe,2,6,64025,91641,E14000914,E12000003,Humberside,Yorkshire and The Humber,England,County,Holly,Mumby-Croft,Female,Con,Lab,61955,37750,84,6451
Sedgefield,-1,13,62844,84279,E14000915,E12000001,Durham,North East,England,County,Paul,Howell,Male,Con,Lab,64325,41566,98,4513
Sefton Central,-9,8,67744,83315,E14000916,E12000002,Merseyside,North West,England,County,Bill,Esterson,Male,Lab,Con,69760,50880,153,15122
Selby and Ainsty,2,8,76082,101373,E14000917,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Nigel,Adams,Male,Con,Lab,78398,56418,191,20137
Sevenoaks,9,-13,71958,96949,E14000918,E12000008,Kent,South East,England,County,Laura,Trott,Female,Con,LD,71757,50956,244,20818
Sheffield Central,-1,4,72321,130085,E14000919,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Paul,Blomfield,Male,Lab,Con,89849,50913,233,27273
Sheffield South East,0,4,70422,94106,E14000920,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Clive,Betts,Male,Lab,Con,67832,41998,146,4289
"Sheffield, Brightside and Hillsborough",-2,5,70874,112154,E14000921,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Gill,Furniss,Female,Lab,Con,69333,39600,122,12274
"Sheffield, Hallam",-3,5,72351,92386,E14000922,E12000003,South Yorkshire,Yorkshire and The Humber,England,County,Olivia,Blake,Female,Lab,LD,72763,56885,150,712
"Sheffield, Heeley",-2,4,67950,94955,E14000923,E12000003,South Yorkshire,Yorkshire and The Humber,England,Borough,Louise,Haigh,Female,Lab,Con,66940,42695,132,8520
Sherwood,2,3,73349,100376,E14000924,E12000004,Nottinghamshire,East Midlands,England,County,Mark,Spencer,Male,Con,Lab,77888,52709,183,16186
Shipley,-2,10,70464,95974,E14000925,E12000003,West Yorkshire,Yorkshire and The Humber,England,County,Philip,Davies,Male,Con,Lab,74029,54004,258,6242
Shrewsbury and Atcham,-9,-1,76400,106407,E14000926,E12000005,Shropshire,West Midlands,England,County,Daniel,Kawczynski,Male,Con,Lab,82238,59065,217,11217
Sittingbourne and Sheppey,12,-10,76018,117975,E14000927,E12000008,Kent,South East,England,County,Gordon,Henderson,Male,Con,Lab,83917,51394,103,24479
Skipton and Ripon,-4,11,76645,99840,E14000928,E12000003,North Yorkshire,Yorkshire and The Humber,England,County,Julian,Smith,Male,Con,Lab,78673,58724,239,23694
Sleaford and North Hykeham,4,4,87972,118053,E14000929,E12000004,Lincolnshire,East Midlands,England,County,Caroline,Johnson,Female,Con,Lab,94761,66554,236,32565
Slough,-2,-8,86366,142082,E14000930,E12000008,Berkshire,South East,England,Borough,Tan,Dhesi,Male,Lab,Con,86818,51038,155,13640
Solihull,-2,-4,77956,102258,E14000931,E12000005,West Midlands,West Midlands,England,Borough,Julian,Knight,Male,Con,Lab,78760,55344,209,21273
Somerton and Frome,-8,-11,83281,106834,E14000932,E12000009,Somerset,South West,England,County,David,Warburton,Male,Con,LD,85866,64896,225,19213
South Basildon and East Thurrock,9,-7,71155,100461,E14000933,E12000006,Essex,East,England,County,Stephen,Metcalfe,Male,Con,Lab,74441,45297,198,19922
South Cambridgeshire,6,-2,84132,115828,E14000934,E12000006,Cambridgeshire,East,England,County,Anthony,Browne,Male,Con,LD,87288,66929,304,2904
South Derbyshire,-2,1,73923,102385,E14000935,E12000004,Derbyshire,East Midlands,England,County,Heather,Wheeler,Female,Con,Lab,79331,53381,429,19335
South Dorset,-9,-15,71534,93451,E14000936,E12000009,Dorset,South West,England,County,Richard,Drax,Male,Con,Lab,73809,51058,184,17153
South East Cambridgeshire,7,-1,84570,120504,E14000937,E12000006,Cambridgeshire,East,England,County,Lucy,Frazer,Female,Con,LD,86769,64385,255,11490
South East Cornwall,-14,-14,71071,89989,E14000938,E12000009,Cornwall,South West,England,County,Sheryll,Murray,Female,Con,Lab,71825,53655,230,20971
South Holland and The Deepings,4,3,76460,107467,E14000939,E12000004,Lincolnshire,East Midlands,England,County,John,Hayes,Male,Con,Lab,75975,49179,202,30838
South Leicestershire,1,-2,76851,105253,E14000940,E12000004,Leicestershire,East Midlands,England,County,Alberto,Costa,Male,Con,Lab,80520,57469,298,24004
South Norfolk,9,0,80721,107778,E14000941,E12000006,Norfolk,East,England,County,Richard,Bacon,Male,Con,Lab,86214,62484,291,21275
South Northamptonshire,2,-4,85781,117338,E14000942,E12000004,Northamptonshire,East Midlands,England,County,Andrea,Leadsom,Female,Con,Lab,90842,66908,266,27761
South Ribble,-8,9,76489,99596,E14000943,E12000002,Lancashire,North West,England,County,Katherine,Fletcher,Female,Con,Lab,75351,53784,209,11199
South Shields,0,16,62730,83621,E14000944,E12000001,Tyne and Wear,North East,England,Borough,Emma,Lewell-Buck,Female,Lab,Con,62793,37882,80,9585
South Staffordshire,-6,0,72771,97353,E14000945,E12000005,Staffordshire,West Midlands,England,County,Gavin,Williamson,Male,Con,Lab,73668,50005,259,28250
